,frame_name,count,ex1,ex2,ex3,ex4,ex5,Anders,Meriem,Terne,Steffen,Paul
0,Cardinal_numbers,2992,"< newSection > 1 Introduction In Information Extraction domain , named entities -LRB- NEs -RRB- are one of the most important textual units as they express an important part of the meaning of a document . | Text : one | Annotation Set : [{'name': 'Number', 'spans': [{'start': 16, 'end': 17, 'text': 'one'}]}, {'name': 'Entity', 'spans': [{'start': 17, 'end': 23, 'text': 'of the most important textual units'}]}]","We address two kinds of issues : first , we want to detect and correctly annotate corpus-specific NEs3 that the NER system could have missed ; second , we want to correct some wrong annotations provided by the existing NER system due to ambiguity . | Text : two | Annotation Set : [{'name': 'Number', 'spans': [{'start': 2, 'end': 3, 'text': 'two'}]}, {'name': 'Entity', 'spans': [{'start': 3, 'end': 4, 'text': 'kinds'}]}]","In section 3 , we give some examples of such corrections . | Text : 3 | Annotation Set : [{'name': 'Number', 'spans': [{'start': 2, 'end': 3, 'text': '3'}]}, {'name': 'Entity', 'spans': [{'start': 4, 'end': 5, 'text': 'we'}]}]","We present , in section 2 , the global architecture of our system and from §2.1 to §2.6 , we give details about each of its steps . | Text : 2 | Annotation Set : [{'name': 'Number', 'spans': [{'start': 5, 'end': 6, 'text': '2'}]}]","In section 3 , we present the evaluation of our approach when it is combined with other classic NER systems . | Text : 3 | Annotation Set : [{'name': 'Number', 'spans': [{'start': 2, 'end': 3, 'text': '3'}]}, {'name': 'Entity', 'spans': [{'start': 4, 'end': 5, 'text': 'we'}]}]",0,0,0,0,0
1,Quantity,2400,"We show that native speakers do accept quite some variation in word order , but there are also clearly factors that make certain realisation alternatives more natural . | Text : some | Annotation Set : [{'name': 'Mass', 'spans': [{'start': 9, 'end': 10, 'text': 'variation'}]}, {'name': 'Denoted_quantity', 'spans': [{'start': 8, 'end': 9, 'text': 'some'}]}]","The main aims of this experiment were : -LRB- i -RRB- to establish how much variation in German word order is acceptable for human judges , -LRB- ii -RRB- to find an automatic evaluation metric that mirrors the findings of the human evaluation , -LRB- iii -RRB- to provide detailed feedback for the designers of the surface realisation ranking model and -LRB- iv -RRB- to establish what effect preceding context has on the choice of realisation . | Text : much | Annotation Set : [{'name': 'Denoted_quantity', 'spans': [{'start': 14, 'end': 15, 'text': 'much'}]}]","F-structures are attribute-value matrices representing grammatical functions and morphosyntactic features ; roughly speaking , they are predicate-argument structures . | Text : roughly | Annotation Set : [{'name': 'Denoted_quantity', 'spans': [{'start': 11, 'end': 12, 'text': 'roughly'}]}]","The output of the realisation ranker is evaluated in terms of exact match and BLEU score , both measured against the actually observed corpus sentences . | Text : both | Annotation Set : [{'name': 'Quantity', 'spans': [{'start': 17, 'end': 18, 'text': 'both'}]}]","The output of the realisation ranker is evaluated in terms of exact match and BLEU score , both measured against the actually observed corpus sentences . | Text : measured | Annotation Set : [{'name': 'Quantity', 'spans': [{'start': 18, 'end': 19, 'text': 'measured'}]}]",0,0,0,0,0
2,Using,2022,"< newSection > Abstract This paper presents an application of finite state transducers weighted with feature structure descriptions , following Amtrup -LRB- 2003 -RRB- , to the morphology of the Semitic language Tigrinya . | Text : application | Annotation Set : [{'name': 'Instrument', 'spans': [{'start': 9, 'end': 18, 'text': 'of finite state transducers weighted with feature structure descriptions'}]}]","The relationship between these levels has concerned many phonologists and morphologists over the years , and traditional descriptions , since the pioneering work of Chomsky and Halle -LRB- 1968 -RRB- , have characterized it in terms of a series of ordered content-sensitive rewrite rules , which apply in the generation , but not the analysis , direction . | Text : apply | Annotation Set : [{'name': 'Agent', 'spans': [{'start': 45, 'end': 46, 'text': 'which'}]}, {'name': 'Place', 'spans': [{'start': 47, 'end': 50, 'text': 'in the generation'}]}]","Within computational morphology , a very significant advance came with the demonstration that phonological rules could be implemented as finite state transducers -LRB- Johnson , 1972 ; Kaplan and Kay , 1994 -RRB- -LRB- FSTs -RRB- and that the rule ordering could be dispensed with using FSTs that relate the surface and lexical levels directly -LRB- Koskenniemi , 1983 -RRB- . | Text : using | Annotation Set : [{'name': 'Instrument', 'spans': [{'start': 46, 'end': 47, 'text': 'FSTs'}]}]","Given the extra compileand-replace operation , this resulting system maps directly between abstract lexical expressions and surface strings . | Text : operation | Annotation Set : []","In addition to Arabic , this approach has been applied to a portion of the verb morphology system of the Ethio-Semitic language Amharic -LRB- Amsalu and Demeke , 2006 -RRB- , which is characterized by all of the same sorts of complexity as Tigrinya . | Text : applied | Annotation Set : [{'name': 'Instrument', 'spans': [{'start': 5, 'end': 7, 'text': 'this approach'}]}, {'name': 'Purpose', 'spans': [{'start': 10, 'end': 44, 'text': 'to a portion of the verb morphology system of the Ethio-Semitic language Amharic -LRB- Amsalu and Demeke , 2006 -RRB- , which is characterized by all of the same sorts of complexity as Tigrinya'}]}]",0,0,0,0,0
3,Simple_name,1587,< newSection > 1 Introduction Word Sense Disambiguation -LRB- WSD -RRB- is a key enabling-technology that automatically chooses the intended sense of a word in context . | Text : word | Annotation Set : [],Traditional knowledge-based WSD systems assign a sense to an ambiguous word by comparing each of its senses with those of the surrounding context . | Text : word | Annotation Set : [],One of the major drawbacks of these approaches stems from the fact that senses are compared in a pairwise fashion and thus the number of computations can grow exponentially with the number of words . | Text : words | Annotation Set : [],"Although alternatives like simulated annealing -LRB- Cowie et al. , 1992 -RRB- and conceptual density -LRB- Agirre and Rigau , 1996 -RRB- were tried , most of past knowledge based WSD was done in a suboptimal word-by-word process , i.e. , disambiguating words one at a time . | Text : words | Annotation Set : [{'name': 'Entity', 'spans': [{'start': 43, 'end': 47, 'text': 'one at a time'}]}]","Graphbased WSD methods are particularly suited for disambiguating word sequences , and they manage to exploit the interrelations among the senses in the given context . | Text : word | Annotation Set : []",0,0,0,0,0
4,Likelihood,1461,"It is explained how metadata are the key to the added value of techniques such as text and link mining , and an outline is given of what measures could be taken to increase the chances for a bright future for the old ties between NLP and the humanities . | Text : chances | Annotation Set : [{'name': 'Hypothetical_event', 'spans': [{'start': 36, 'end': 49, 'text': 'for a bright future for the old ties between NLP and the humanities'}]}]","The liaison was never constrained to linguistics ; also philosophical , philological and literary studies have had their impact on NLP , and there have always been dedicated conferences and journals for the humanities and the NLP community of which the journal Computers and the Humanities -LRB- 1966-2004 -RRB- is probably known best . | Text : probably | Annotation Set : [{'name': 'Hypothetical_event', 'spans': [{'start': 44, 'end': 46, 'text': 'the Humanities'}]}]","Nowadays semantic layers can be analysed at much more complex levels of granularity . | Text : can | Annotation Set : [{'name': 'Hypothetical_event', 'spans': [{'start': 2, 'end': 3, 'text': 'layers'}]}]","Even though the humanities have been able to conduct NLP-empowered research that would have been impossible without the the early tools and resources already for many decades , the more recent introduction of statistical methods in langauge is affecting research practises in the humanities at yet another scale . | Text : impossible | Annotation Set : [{'name': 'Hypothetical_event', 'spans': [{'start': 11, 'end': 12, 'text': 'that'}]}]","All kinds of initiatives for converting analogue resources into data sets that can be stored in digital repositories have been initiated . | Text : can | Annotation Set : [{'name': 'Hypothetical_event', 'spans': [{'start': 9, 'end': 11, 'text': 'data sets'}]}]",0,0,0,0,0
5,Causation,1318,"< newSection > 1 Introduction The output of an automatic speech recognition -LRB- ASR -RRB- system is often not what is required for subsequent processing , in part because speakers themselves often make mistakes -LRB- e.g. stuttering , selfcorrecting , or using filler words -RRB- . | Text : make | Annotation Set : [{'name': 'Cause', 'spans': [{'start': 28, 'end': 30, 'text': 'because speakers'}]}, {'name': 'Effect', 'spans': [{'start': 33, 'end': 44, 'text': 'mistakes -LRB- e.g. stuttering , selfcorrecting , or using filler words'}]}]","Such a system could also be applied not only to spontaneous English speech , but to correct common mistakes made by non-native speakers -LRB- Lee and Seneff , 2006 -RRB- , and possibly extended to non-English speaker errors . | Text : made | Annotation Set : [{'name': 'Effect', 'spans': [{'start': 17, 'end': 19, 'text': 'common mistakes'}]}]","The presence of disfluencies were found to hurt SMT in two ways : making utterances longer without adding semantic content -LRB- and sometimes adding false content -RRB- and exacerbating the data mismatch between the spontaneous input and the clean text training data . | Text : making | Annotation Set : [{'name': 'Effect', 'spans': [{'start': 15, 'end': 42, 'text': 'longer without adding semantic content -LRB- and sometimes adding false content -RRB- and exacerbating the data mismatch between the spontaneous input and the clean text training data'}]}]","Common simple disfluencies in sentence-like utterances -LRB- SUs -RRB- include filler words -LRB- i.e. `` um '' , `` ah '' , and discourse markers like `` you know '' -RRB- , as well as speaker edits consisting of a reparandum , an interruption point -LRB- IP -RRB- , an optional interregnum -LRB- like `` I mean '' -RRB- , and a repair region -LRB- Shriberg , 1994 -RRB- , as seen in Figure 1. and other examples , reparandum regions are in brackets -LRB- ’ -LSB- ’ , ’ -RSB- ’ -RRB- , interregna are in braces -LRB- 'I ' ' 'f ' , ’ -RCB- ’ -RRB- , and interruption points are marked by ’+’ . | Text : mean | Annotation Set : [{'name': 'Cause', 'spans': [{'start': 55, 'end': 56, 'text': 'I'}]}, {'name': 'Effect', 'spans': [{'start': 61, 'end': 64, 'text': 'a repair region'}]}]","-LRB- 2004 -RRB- , but otherwise appears to produce comparable results to those reported . | Text : results | Annotation Set : [{'name': 'Cause', 'spans': [{'start': 9, 'end': 10, 'text': 'comparable'}]}]",0,0,0,0,0
6,Increment,1283,"The literacy skills of the readers , their motivations , background knowledge , and other internal characteristics play an important role in determining whether a text is readable for a particular group of people . | Text : other | Annotation Set : [{'name': 'Class', 'spans': [{'start': 15, 'end': 16, 'text': 'internal'}]}]","Our research addresses two literacy impairments that distinguish people with ID from other low-literacy adults : limitations in -LRB- 1 -RRB- working memory and -LRB- 2 -RRB- discourse representation . | Text : other | Annotation Set : [{'name': 'Class', 'spans': [{'start': 13, 'end': 14, 'text': 'low-literacy'}]}]","Other formulas rely on lexical information ; e.g. , the New Dale-Chall readability formula consults a static , manually-built list of `` easy '' words to determine whether a text contains unfamiliar words -LRB- Chall and Dale , 1995 -RRB- . | Text : Other | Annotation Set : [{'name': 'Class', 'spans': [{'start': 1, 'end': 2, 'text': 'formulas'}]}]","Researchers in computational linguistics have investigated the use of statistical language models -LRB- unigram in particular -RRB- to capture the range of vocabulary from one grade level to another -LRB- Si and Callan , 2001 ; Collins-Thompson and Callan , 2004 -RRB- . | Text : another | Annotation Set : [{'name': 'Added_set', 'spans': [{'start': 28, 'end': 35, 'text': 'another -LRB- Si and Callan , 2001'}]}]","The Yngve -LRB- 1960 -RRB- measure , for instance , focuses on the depth of embedding of nodes in the parse tree ; others use the ratio of terminal to nonterminal nodes in the parse tree of a sentence -LRB- Miller and Chomsky , 1963 ; Frazier , 1985 -RRB- . | Text : others | Annotation Set : []",0,0,0,0,0
7,Means,1237,"< newSection > Abstract This paper describes a method using morphological rules and heuristics , for the automatic extraction of large-coverage lexicons of stems and root word-forms from a raw text corpus . | Text : method | Annotation Set : [{'name': 'Means', 'spans': [{'start': 9, 'end': 14, 'text': 'using morphological rules and heuristics'}]}]","In some previous work the process of lexicon extraction involves incremental or post-construction manual validation of the entire lexicon -LRB- Cl´ement et al. , 2004 ; Sagot , 2005 ; Forsberg et al. , 2006 ; Sagot et al. , 2006 ; Sagot , 2007 -RRB- . | Text : process | Annotation Set : [{'name': 'Means', 'spans': [{'start': 4, 'end': 9, 'text': 'the process of lexicon extraction'}]}]","Our method attempts to improve on and extend the previous work by increasing the precision and recall of the system to such a point that manual validation might even be rendered unnecessary . | Text : method | Annotation Set : [{'name': 'Means', 'spans': [{'start': 1, 'end': 2, 'text': 'method'}]}]","Yet another difference , to our knowledge , is that in our method we cast the problem of lexicon extraction as two subproblems : that of stemming and following it , that of root word-form selection . | Text : method | Annotation Set : [{'name': 'Means', 'spans': [{'start': 13, 'end': 14, 'text': 'we'}]}]","In the rest of the paper , we provide a brief overview of the morphological features of the Hindi language , followed by a description of our method including the specification of rules , the corpora and the heuristics for stemming and root word-form selection . | Text : method | Annotation Set : [{'name': 'Means', 'spans': [{'start': 27, 'end': 28, 'text': 'method'}]}]",0,0,0,0,0
8,Statement,1207,"Likewise , it is not clear how to learn from consistently misannotated data ; studies often only note the presence of errors or eliminate them from evaluation -LRB- e.g. , Hogan , 2007 -RRB- , and a previous attempt at correction was limited to POS annotation -LRB- Dickinson , 2006 -RRB- . | Text : note | Annotation Set : [{'name': 'Message', 'spans': [{'start': 18, 'end': 22, 'text': 'the presence of errors'}]}]","The nucleus with its repeated surrounding context is referred to as a variation n-gram . | Text : referred | Annotation Set : [{'name': 'Message', 'spans': [{'start': 3, 'end': 7, 'text': 'its repeated surrounding context'}]}]","While the original proposal expanded the context as far as possible given the repeated n-gram , using only the immediately surrounding words as context is sufficient for detecting errors with high precision -LRB- Boyd et al. , 2008 -RRB- . | Text : proposal | Annotation Set : []","Namely , ambiguity class information -LRB- e.g. , IN/RB/RP -RRB- is added to each corpus position for training , creating complex ambiguity tags , such as < IN/RB/RP , IN > . | Text : added | Annotation Set : [{'name': 'Message', 'spans': [{'start': 12, 'end': 18, 'text': 'to each corpus position for training'}]}]","< newSection > 3 Modeling the data For our data set , we use the written portion -LRB- sec-tions P and G -RRB- of the Swedish Talbanken05 treebank -LRB- Nivre et al. , 2006 -RRB- , a reconstruction of the Talbanken76 corpus -LRB- Einarsson , 1976 -RRB- The written data of Talbanken05 consists of 11 , 431 sentences with 197 , 123 tokens , annotated using 69 types of dependency relations . | Text : written | Annotation Set : [{'name': 'Message', 'spans': [{'start': 16, 'end': 17, 'text': 'portion'}]}]",0,0,0,0,0
9,Intentionally_act,1085,"Given such a rule collection , the next step to focus on is how to successfully use it in NLP applications . | Text : step | Annotation Set : [{'name': 'Act', 'spans': [{'start': 7, 'end': 8, 'text': 'next'}]}, {'name': 'Purpose', 'spans': [{'start': 9, 'end': 12, 'text': 'to focus on'}]}]","The algorithm does not extract directional inference rules , it can only identify candidate paraphrases ; many of the rules are however unidirectional . | Text : does | Annotation Set : [{'name': 'Agent', 'spans': [{'start': 0, 'end': 2, 'text': 'The algorithm'}]}]","In -LRB- Clark et al. , 2007 -RRB- 's approach , semantic parsing to clause representation is performed and true entailment is decided only if every clause in the semantic representation of T semantically matches some clause in H . | Text : performed | Annotation Set : [{'name': 'Act', 'spans': [{'start': 19, 'end': 39, 'text': 'true entailment is decided only if every clause in the semantic representation of T semantically matches some clause in H'}]}]","In their system a paraphrase substitution step is added on top of a system based on a tree alignment algorithm . | Text : step | Annotation Set : [{'name': 'Act', 'spans': [{'start': 3, 'end': 7, 'text': 'a paraphrase substitution step'}]}]","The basic paraphrase substitution method follows three steps . | Text : steps | Annotation Set : [{'name': 'Act', 'spans': [{'start': 7, 'end': 8, 'text': 'steps'}]}]",0,0,0,0,0
